Threads Size Time_microseconds
2 100 39015
2 200 308528
2 300 981551
2 400 2334886
2 500 2728133
2 1000 23264249
2 1500 81918033
2 2000 273871434
4 100 36627
4 200 309517
4 300 976970
4 400 2325577
4 500 2795792
4 1000 23462834
4 1500 80797565
4 2000 272794890
6 100 24091
6 200 176629
6 300 607356
6 400 1426124
6 500 2768626
6 1000 23425512
6 1500 83632443
6 2000 243749089
8 100 38730
8 200 353320
8 300 977615
8 400 1423065
8 500 2752223
8 1000 23284745
8 1500 80825164
8 2000 235300147
10 100 21882
10 200 176946
10 300 598346
10 400 1401241
10 500 2752882
10 1000 23343272
10 1500 84264981
10 2000 245873125
12 100 21692
12 200 174406
12 300 598459
12 400 1410364
12 500 2800274
12 1000 23585463
12 1500 83254201
12 2000 249563590
14 100 22061
14 200 175930
14 300 596329
14 400 1403908
14 500 2809214
14 1000 23185537
14 1500 82233572
14 2000 245483727
